nom;quantitee;preparation
Negritaberries;4 cl de rhum ambré,6 cl de jus de pomme,2 fraises fraîches,2 quartiers de citron vert,1,5 cl de miel liquide,1 pincée de cannelle en poudre;Dans un verre tumbler, mettez les fraises fraîches, le citron vert et le miel et pilez le tout. Complétez de glace pilée et versez le rhum ambré, le jus de pomme et la cannelle en poudre. 
So Good Sir !;4 cl de scotch whisky,5 cl de nectar de maracuja,5 cl de nectar de citron vert,1 cl de sirop de canne;Dans un verre long drink rempli de glaçons, mélangez le whisky avec le sirop de canne, puis ajoutez les jus de fruits. 
Irish Coffee;3 cl de scotch whisky,4 cl de café,crème fraîche,sucre;Après avoir préparé un expresso, versez dans un verre à chope le café, le whisky et les deux morceaux de sucre. Déposez la crème fraîche en dernier. 
Bloody Mary;4 cl de vodka,12 cl de jus de tomate,1 cl de jus de citron pressé,sel de céleri;Dans un shaker rempli à moitié de glaçons, versez 4 cl de vodka, 12 cl de jus de tomate, 1 cl de jus de citron, 1 pincée de sel de céleri. Shakez et versez dans un verre à cocktail. 
Negrita Spresso;4 cl de rhum ambré,1,5 cl de sirop de canne,4 cl d'expresso;Dans un shaker rempli de glace, versez le rhum, l'expresso et le sirop de canne. Filtrez dans le verre. 
Caïpirinha;6 cl de cachaça,1 cl de sirop de canne,1 citron vert;Préparez la caïpirinha directement dans un verre. Lavez le citron vert et découpez-le en dés, en supprimant la partie blanche centrale. Placez les morceaux de citron dans le verre, ajoutez le sirop de canne et écrasez le tout à l'aide d'un pilon pour extraire le jus du citron vert. Ajoutez la glace pilée puis versez la cachaça. Mélangez avec un agitateur puis servez avec une paille. 
Old Fashioned;4 cl de scotch whisky,1 trait de bitter Angostura,1 morceau de sucre,eau gazeuse;Dans un verre à mélange rempli aux 2/3 de glaçons, versez le bitter sur le morceau de sucre puis versez le whisky. Mélangez puis allongez d'eau gazeuse. 
Manhattan;4 cl de scotch whisky,2 cl d'américano;Dans un verre à cocktail, versez le whisky et l'américano. 
Soleil couchant;5 cl de muscat de Rivesaltes,4 cl de nectar de goyave,1 cl de sirop de coco;Dans un shaker rempli à moitié de glaçons, versez 5 cl de muscat de Rivesaltes, 4 cl de nectar de goyave et 1cl de sirop de coco. Shakez et servez dans un verre à cocktail. 
Cap Horn;4 cl de rhum blanc 55°,2 cl de triple sec,1 trait de bitter Angostura,1 trait de sirop de canne roux;Préparez le cocktail dans un verre à mélange. Versez les ingrédients un à un, puis mélangez-les avec une cuillère. Servez dans un verre old fashioned rempli de glace. 
Cassis Express;5 cl de vodka,3 cl de crème de cassis,jus de pamplemousse jaune,un trait de jus de citron;Dans un verre à cocktail, versez la vodka, jus de pamplemousse et un trait de jus de citron. Ajoutez la crème de cassis en dernier. 
Ginger Aphrodite;4 cl de gin,1 trait de bitter Angostura,4 cl de nectar de gingembre,4 cl de nectar de pêche;Dans un shaker, versez le gin, les nectars et le bitter et mélangez énergiquement. 
Fantaisie;3 cl de gin,2 cl de crème de framboise,1 cl de crème de mûre,7 cl de jus d'ananas;Dans un verre rempli de glaçons, versez les crèmes de fruits, le jus puis le gin. 
Tropical Kamasutra;4 cl de rhum vieux,10 cl de cocktail ananas,1 tranche d'ananas,1 cerise confite,feuilles d'ananas;Dans un grand verre rempli de glace pilée, versez le cocktail ananas et nappez de rhum vieux. 
So Peachy;4 cl de gin,2 cl de crème de pêche,6 cl de nectar de citron vert,1 bâton de citronnelle;Dans un verre à mélange rempli aux 2/3 de glaçons, versez tous les ingrédients en ayant découpé la citronnelle au préalable. Mélangez puis versez dans un verre à cocktail en retenant les glaçons. 
Rio sangaree;4 cl de scotch whisky,4 cl de nectar de cranberry,4 cl de nectar de maracuja,1 cl de sirop de framboise;Dans un shaker rempli à moitié de glaçons, versez 4 cl de scotch whisky, 4 cl de nectar de cranberry, 4 cl de nectar de maracuja, 1 cl de sirop de framboise. Shakez et servez dans un verre à cocktail. 
Madinina;4 cl de rhum blanc 50°,6 cl de nectar de goyave,4 cl de jus d'ananas,2 cl de nectar de banane;Dans un verre long drink, mélangez les ingrédients et décorez avec une tranche d'ananas. 
Show Label;4 cl de scotch whisky,3 cl de crème de cacao;Dans un shaker rempli à moitié de glaçons, versez 4 cl de scotch whisky puis 3 cl de crème de cacao.Shakez et servez dans un verre long drink. 
Manzana Rhum;4 cl de rhum blanc,3 cl de manzana verde,tonic citron;Dans un verre long drink, versez le rhum et la manzana verde. Complétez avec du tonic citron. 
GK Cola;4 cl de guignolet Kirsch,10 cl de cola;Versez tous les ingrédients dans un verre tumbler rempli de glaçons. 
Red Storm;3 cl de vodka,2 cl de crème de pamplemousse,6 cl jus de fraise,6 cl nectar de goyave;Dans un shaker, déposez quelques glaçons, puis versez: 3 cl de vodka, 2 cl de crème de pamplemousse, 6 cl de jus de fraise, 6 cl de nectar de goyave. Shakez et servez dans un verre long drink. 
Miami Fizz;4 cl de scotch whisky,6 cl de tonic;Dans un verre long drink rempli de glaçons, versez 4 cl de scotch whisky puis allongez de 6 cl de tonic. 
Cuba Libre;4 cl de Spiced Golden,12 cl de cola,2 cl de jus de citron vert;"Remplissez un verre long drink de glaçons et versez le Spiced Golden.
Ajoutez 12 cl de cola.
Pressez un trait de jus de citron vert par-dessus, environ 2 cl, et décorez d'une rondelle de citron vert. "
Midnight Sunset;4 cl de vodka,2 cl de crème de mûre,1 cl de sirop de canne,1/2 orange coupée en quartiers;Dans un verre, déposez : 1/2 orange coupée en quartiers, 2 cl de crème de mûre, 1cl de sirop de canne. Pilez le tout. Complétez avec de la glace pilée, puis versez 4 cl de vodka. Mélangez à l'aide d'une cuillère à mélange. 
Rhum Tonic;3 cl de rhum blanc,12 cl de tonic,1 rondelle de citron;Dans un verre, mélangez le rhum blanc avec le tonic. Ajoutez des glaçons et décorez d'une rondelle de citron. 
5th Avenue;3 cl de scotch whisky,2 cl de jus d'orange,1 cl de crème de cassis,1 cl de triple sec;Dans un shaker rempli à moitié de glaçons, versez 3 cl de scotch whisky, 1 cl de crème de cassis, 1 cl de triple sec, 2 cl de jus d'orange. Shakez et servez dans un verre à cocktail. 
Airbus;6 cl de triple sec,10 cl de champagne frais,2 cl de jus d'orange,2 cl de sirop de fraise;Dans une flûte à champagne, versez le triple sec, le jus d'orange et le sirop de fraise. Allongez de champagne rafraîchi. 
Cuba Libre Original;4 cl de rhum blanc ou doré,2 cl de jus de citron,12 cl de cola;"Dans un verre long drink rempli de glaçons, ajoutez le rhum blanc et le cola.
Pressez un trait de citron et décorez d'une rondelle de citron. Pour une note plus originale, n'hésitez pas à remplacer le rhum blanc par du rhum doré. "
Ti' Punch;6 cl de rhum blanc 50° ou 55°,2 cl de sirop de canne roux,un quartier de citron vert;Dans un verre à ti' punch, versez et mélangez tous les ingrédients. 
Tonic amer;7 cl de gentiane sur glace,tonic;Dans un verre long drink rempli de glaçons, versez 7 cl de gentiane. Allongez avec du tonic et mélangez. 
Roussillon;6 cl de rivesaltes rosé,6 cl de jus de pamplemousse;Versez tous les ingrédients dans un petit tumbler rempli de glace. 
Raphaelle;4 cl de Saint Raphaël ambré,4 cl de nectar de poire,une demi tranche de citron vert;Dans un verre à cocktail rempli de glaçons, versez 4 cl de Saint Raphaël ambré et 4 cl de nectar de poire, une demi tranche de citron vert avec son zeste. Mélangez le tout. 
Chantaco;4 cl de jus d'orange,4 cl de jus de citron,4 cl de jus de pamplemousse,4 cl de sirop de fraise;Dans un verre tumbler, déposez des glaçons. Versez lentement le jus d'orange, le jus de citron et le jus de pamplemousse. Ajoutez le sirop de fraise sans remuer. 
Apple wine;6 cl de Saint Raphaël ambré,4 cl de jus de pomme,1/4 de citron avec zeste;Dans un verre à whisky rempli de glaçons, versez 6 cl de Saint Raphaël ambré et 4 cl jus de pomme, pressez et déposez 1/4 de citron. Mélangez le tout. 
Atlantis;4 cl de rhum blanc 55°,1 trait de liqueur de framboise,2 cl de triple sec,4 cl de jus d'orange,1 trait de jus de citron;Dans un verre rempli de glace, versez les ingrédients en terminant par le trait de liqueur de framboise. Décorez d'une brochette de framboises fraîches. 
Crystal Cosmo;4 cl de vodka,2 cl de triple sec,1 cl de nectar de citron vert,2 cl de cranberry Crystal;Dans un shaker rempli de glace, mélangez les ingrédients et secouez énergiquement. 
Fresh Apple;4 cl de vodka,2 cl de liqueur de pomme verte,2 cl de nectar de citron vert;Dans un shaker rempli de glace, mélangez la vodka, la liqueur de pomme verte et le nectar de citron vert. Secouez énergiquement et filtrez les glaçons pour verser dans un verre à cocktail. 
Kinky Girl;4 cl de triple sec,6 cl de cocktail Pomelo Guarana;Dans un shaker rempli aux 3/4 de glace, versez le triple sec et le cocktail Pomelo Guarana. Shakez et filtrez dans un verre à cocktail. 
Topazzz;4 cl de tequila,8 cl de jus de pomme,le jus d'un quartier de citron vert;Dans un shaker rempli à moitié de glaçons, versez 4 cl de tequila, 8 cl de jus de pomme, le jus d'un quartier de citron vert. Shakez et versez dans un verre long drink. 
Sainte Marie;4 cl de rhum paille,1 cl de liqueur de banane,6 cl de tonic,1 cl de sirop de citron;Dans un verre long drink rempli de glaçons, versez 4 cl de rhum paille, 1 cl de liqueur de banane, 6 cl de tonic, puis 1 cl de sirop de citron. Mélangez. 
Passion tropicale;6 cl de nectar de maracuja,6 cl de nectar de mangue,6 cl de jus d’ananas;Dans un shaker à moitié rempli de glaçons, mélangez : 6 cl de nectar de maracujà, 6 cl de nectar de mangua, 6 cl de jus d’ananas. Secouez énergiquement et versez dans un verre long drink. 
Kurrant Tiña;4 cl de cachaça,2 cl de crème de cassis,6 cl de nectar de citron vert,1 cl de sirop de canne,quartiers de citron vert;Dans un verre bas, pilez les quartiers de citron vert avec le sirop de canne. Versez le nectar de citron vert, la cachaça puis la crème de cassis. Remplissez le verre de glace pilée. 
Fleur d'amour;7 cl de nectar de banane,7 cl de nectar de mangue,4 cl de jus d'ananas,1 trait de jus de citron vert;Dans un shaker, versez les nectars et les jus puis secouez énergiquement.Servez dans un verre long drink avec des glaçons. 
El Diablo;4 cl de tequila,2 cl de crème de cassis,6 cl de ginger ale,2 cl de jus de citron vert;Dans un verre mojito, écrasez 12 quartiers de citron vert au pilon puis ajoutez la glace. Versez 2 cl de crème de cassis, 4 cl de tequila puis allongez de 6 cl de ginger ale. Mélangez et servir 
Sweety Thing;2 cl de vodka,2 cl de crème de mûre,6 cl de nectar de cranberry,2 quartiers de citron vert;Au shaker rempli de glace, versez tous les ingrédients. Shakez et filtrez dans un verre à cocktail. 
Ginger Island;12 cl de planteur des îles,6 cl de nectar de mangue,1 cl de sirop de canne,2 lamelles de gingembre frais;Dans un shaker, déposez 2 lamelles de gingembre frais et 1 cl de sucre de canne. Pilez délicatement, remplissez le shaker à moitié de glaçons, puis versez 12 cl de planteur des îles et 6 cl de nectar de mangue. Secouez énergiquement et servez dans un verre long drink. 
Cassis Bitter;3 cl de crème de cassis,5 cl de nectar de cranberry,soda bitter lemon;Dans un verre bas rempli de glace pilée, versez le nectar de cranberry, le soda bitter lemon puis la crème de cassis. 
Ginger Flower;4 cl de gin,4 cl de nectar de mangue,2 cl de jus d'orange,1 cl de fleur d'oranger,lamelles de gingembre;Dans un verre short drink, déposez quelques lamelles de gingembre frais et 1 cl de fleur d'oranger. Pilez délicatement. Déposez des glaçons et versez : 4 cl de gin, 4 cl de nectar de mangue et 2 cl de jus d'orange. 
Melée Cassis;2 cl de crème de cassis,4 cl de vin rouge,4 cl de limonade;Dans un verre à vin, versez la crème de cassis et le vin rouge. Allongez de limonade. 
Mer de glace;4 cl de vodka,2 cl de nectar de maracuja,2 cl de nectar de cranberry,0,5 cl de sucre de canne,Une branche de citronnelle;Dans un shaker, déposez une branche de citronnelle et 0,5 cl de sucre de canne. Pilez. Ajoutez des glaçons, puis versez : 4 cl de vodka, 2 cl de nectar de cranberry, 2 cl de nectar de maracuja. Shakez et filtrez dans un verre à cocktail. 
Pink Purple;5 cl de porto rosé,1 cl de sirop de mûre,tonic;Dans un verre long drink rempli de glaçons, versez 5 cl de porto rosé, 1 cl de sirop de mûre. Allongez de tonic et mélangez. 
Ginger Passion;4 cl de vodka,4cl de nectar de maracuja,2 cl de nectar de banane,1 cl de sirop de canne,1 pincée de gingembre en poudre;Dans un shaker rempli à moitié de glaçons, versez 4 cl de vodka, 4 cl de nectar de maracuja, 2 cl de nectar de banane, 1 cl de sirop de canne, 1 pincée de gingembre. Shakez et versez dans un verre à cocktail. 
Gaïa;5 cl de porto tawny,2 cl de crème de pêche,4 cl de jus d'orange;Dans un shaker rempli à moitié de glaçons, versez 5 cl de porto tawny, 4 cl de jus d'orange, 2 cl de crème de pêche. Shakez et servez dans un verre à cocktail. 
Boost;8 cl de jus de framboise,6 cl de nectar de cranberry,4 cl de nectar de citron vert;Dans un shaker rempli à moitié de glaçons, versez : 8 cl de jus de framboise, 6 cl de nectar de cranberry, 4 cl de nectar de citron vert. Secouez et servez dans un verre long drink. 
Berry Fizz;3 cl de porto blanc,2 cl de crème de mûre,tonic;Dans un verre long drink rempli de glaçons, versez 3 cl de porto blanc, 2 cl de crème de mûre. Allongez de tonic et mélangez. 
Raspberry flower;4 cl de nectar de framboise,2 cl de nectar de litchi,1 cl liqueur de sureau,6 cl de limonade à la rose;Dans un shaker rempli de glace, versez le nectar de framboise, le nectar de litchi et la liqueur de sureau.Shakez, filtrez et servez dans un verre tumbler rempli de glace. Complétez avec la limonde à la rose. 
Porto Daisy;5 cl de porto blanc,2 cl de crème de pêche,5 cl de nectar de cranberry;Dans un shaker rempli à moitié de glaçons, versez 5 cl de porto blanc, 5 cl de nectar de cranberry et 2 cl de crème de pêche. Shakez et filtrez dans un verre à cocktail 
Fruit des îles;4 cl de nectar de goyave,6 cl de nectar de maracuja,3 cl de jus de kiwi,2 cl de nectar de litchi;Versez les ingrédients dans un verre long drink rempli de glaçons. Décorez avec une tranche de kiwi. 
Soleil Levant;4 cl de nectar de litchi,4 cl de nectar de cranberry,1 trait de sirop de fraise;Dans un verre bas, versez les ingrédients sur la glace pilée. 
Lisboa;5 cl de porto blanc,2 cl de liqueur de mandarine,5 cl de nectar d'abricot;Dans un shaker rempli à moitié de glaçons, versez 5 cl de porto blanc, 5 cl de nectar d'abricot et 2 cl de liqueur de mandarine. Shakez et servez dans un verre à cocktail. 
Devil kiss;10 cl de jus goyave-framboise,2 cl de nectar de citron vert ,1 cl de sirop de canne,5 à 6 feuilles de coriandre;Dans un shaker, déposez 5/6 feuilles de coriandre et 1 cl de sucre de canne. Pilez, remplissez le shaker à moitié de glaçons, puis versez 10 cl de goyave-framboise et 2 cl de nectar de citron vert. Secouez énergiquement, et filtrez dans un verre à cocktail. 
Murmure et Chuchotement;4 cl de cognac,3 cl de crème de mûre,6 cl de nectar de litchi;Dans un shaker rempli de glaçons, versez les ingrédients et secouez énergiquement. Versez dans un verre tumbler en filtrant les glaçons et remuez avec la cuillère à mélange. 
Milady;6 cl d'effervescent rosé pamplemousse sans alcool,3 cl de nectar de citron vert,2 cl de jus de litchi,1 cl de citron vert;Dans un verre à vin, placez quelques glaçons. Ensuite, versez le rosé pamplemousse effervescent sans alcool, le jus de litchi, le nectar de citron vert et le citron vert. Vous pouvez déguster ! 
Le Zouc;8 cl de rhum blanc,4 cl de nectar de maracuja,4 cl de nectar de banane,un trait de sirop de menthe;Dans un verre long drink, versez le rhum et les jus de fruits. Terminez par le trait de sirop de menthe et les glaçons. 
Kukumber;12 cl de cocktail Sex on the Beach,1cl de sirop de citron,2 rondelles de concombre;Dans un shaker, déposez 2 rondelles de concombre et 1 cl de sirop de citron. Pilez, remplissez le shaker à moitié de glaçons, puis versez 12 cl de Sex on the Beach. Shakez, et filtrez dans un verre à cocktail. 
Sweet Moment;4 cl de bourbon,  2 cl de nectar d'abricot, 2 cl de sirop de grenadine,1 cl de jus de citron;Dans un shaker rempli à moitié de glaçons, versez 4 cl de bourbon, 1 cl de jus de citron, 2 cl de nectar d'abricot et 2 cl de sirop de grenadine. Shakez et servez dans un verre à cocktail. 
Ginger D'Artigny;12 cl d'effervescent sans alcool rosé,4 cl de jus de fraise,1 cl de sirop de canne,2 lamelles de gingembre frais;Dans un verre à pied, déposez 2 lamelles de gingembre frais et le sirop de canne. Pilez délicatement, ajoutez quelques glaçons, puis versez le jus de fraise et le D'Artigny rosé. 
Blanc Bec Menthe;4 cl de sirop de menthe,2 cl de jus de citron,1 cl de sirop de canne,1 trait de jus de citron vert;Dans un shaker, versez les ingrédients et ajoutez des glaçons. Frappez et versez dans un verre de type tumbler. 
Coco Sun;4 cl de rhum paille,6 cl de nectar d'abricot,1 cl de sirop de noix de coco;Dans un shaker rempli à moitié de glaçons, versez 4 cl de rhum paille, 6 cl de nectar d'abricot, 1 cl de sirop de coco. Shakez et versez dans un verre à cocktail. 
Cosmo Royal;12 cl d'effervescent sans alcool cassis,4 cl de nectar de cranberry,2 cl de sirop de citron;Dans un verre, déposez quelques glaçons, puis versez le nectar de cranberry, ajoutez le sirop de citron puis terminez par le D'Artigny. 
El Mundo;4 cl de liqueur de litchi,4 cl de jus de litchi,4 cl de nectar de banane,1,5 cl de nectar de citron vert;Dans un shaker, versez les ingrédients et secouez énergiquement. Servez dans un verre long drink rempli de glace pilée. 
Margarita Frozen;4 cl de tequila,2 cl de triple sec,2 cl de nectar de citron vert;Dans un mixer rempli de glaçon, versez 4 cl de tequila, 2 cl de triple sec, 2 cl de jus de citron vert. Mixez et servez dans un verre à cocktail givré au sel et au citron. 
Perroquet;4 cl de pastis,1 cl de sirop de menthe,eau;Dans un verre à whisky, versez 4 cl de pastis et 1 cl de sirop de menthe. Allongez d'eau fraîche, ajoutez des glaçons et mélangez. 
Tomate;4 cl de pastis,1 cl de sirop de grenadine,eau;Dans un verre à old fashioned, versez 4 cl de pastis et 1 cl de sirop de grenadine. Allongez d'eau fraîche, ajoutez des glaçons et mélangez. 
Quetzal;4 cl de tequila,2 cl sirop de canne,2 cl de jus de citron;Dans un shaker rempli à moitié de glaçons, versez 4 cl de tequila, 2 cl de jus de citron, 2 cl de sirop de canne. Shakez et versez dans un verre à cocktail. 
Mauresque;4 cl de pastis,1 cl de sirop d'orgeat,eau;Dans un verre à whisky, versez 4 cl de pastis et 1 cl de sirop d'orgeat. Allongez d'eau fraîche, ajoutez des glaçons et mélangez. 
Amour;4 cl de rhum blanc 59°,4 cl de jus de citron,1 cuillère de miel;Au shaker, mélangez le rhum, le jus de citron et la cuillère de miel. Secouez énergiquement puis versez dans un verre à cocktail. 
Cortez;4 cl de tequila,6 cl de jus de pamplemousse,le jus d'un demi quartier de citron vert;Dans un verre long drink rempli de glaçons, versez 4 cl de tequila, 8 cl de jus de pamplemousse. Ajoutez le jus d'un demi quartier de citron vert et le morceau de citron vert. 
Mai Tai;2 cl de rhum blanc 40°,2 cl de rhum ambré,2 cl de triple sec,6 cl de nectar de citron vert,1 cl de sirop d'orgeat;Dans un shaker rempli de glaçons, versez 2 cl de rhum blanc, 2 cl de rhum ambré, 2 cl de triple sec, 6 cl de nectar de citron vert, 1 cl de sirop d'orgeat. Shakez et versez dans un verre à cocktail. 
Tit'yole;4 cl de rhum vieux,1 trait de liqueur de mangue,nectar d'abricot,jus de citron;Dans un verre bas, versez le rhum et la liqueur de mangue. Allongez de nectar d'abricot puis ajoutez un trait de jus de citron. Servez sur glace pilée 
Ginpamp;4 cl de gin,8 cl de nectar de pamplemousse,1 cl de sirop de canne;Dans un verre long drink, versez le gin, le nectar de pamplemousse puis ajoutez le sirop de canne 
Vaudoo Fever;4 cl de rhum blanc 55°,4 cl de nectar de goyave,4 cl de nectar de maracuja;Dans un verre bas, versez le rhum et les jus de fruits. 
Aloe Brazil;4 cl de Cachaça,6 cl de Cocktail Intense Aloe Litchi;Dans un verre old fashionned, mélangez la cachaça et le cocktail intense Aloe Litchi. Mélangez et complétez de glace pilée. 
Punch Pot-au-rhum;70 cl de rhum blanc 50° ou 55°,25 cl de rhum ambré,33 cl de sirop de canne roux,75 cl de nectar Cocktail des îles,75 cl de nectar de mangue,75 cl de nectar de goyave,le jus de 4 citrons,des fruits frais coupés (orange, banane, ananas…);Préparez dans une grande coupe. Au dernier moment, ajoutez des glaçons et servez avec une louche. 
Fresh Fruit;4 cl de cocktail Aloé si,fraises,1 brin de menthe fraîche;Versez tous les ingrédients dans un blender rempli de glace. Mixez et dégustez dans un verre à cocktail. 
Queen Delight;4 cl de gin,10 cl de cocktail Aloé Litchi;Dans un grand verre rempli de glace pilée, versez le gin et le cocktail Aloé Litchi. 
Cosmopolitan;4 cl de vodka,1 cl de triple sec,4 cl de nectar de cranberry,1 dé de citron vert pressé;Dans un shaker rempli à moitié de glaçons, versez 4 cl de vodka, 1 cl de triple sec, 4 cl de nectar de cranberry, pressez le dé de citron vert. Shakez et filtrez dans un verre à cocktail. Ajoutez le dé de citron vert pressé. Vous pouvez également réaliser ce cocktail avec 4 cl de vodka, 12 cl de Cosmopolitan Caraïbos et un trait de citron vert. 
Caldera;4 cl de tequila,8 cl de jus de tomate,le jus d'un quartier de citron jaune,1 pincée de sel de céleri;Dans un verre long drink rempli de glaçons, versez 4 cl de tequila, 8 cl de jus de tomate, le jus d''un quartier de citron jaune, ajoutez une pincée de sel de céleri. Mélangez. 
Ice Dimension;3 cl de vodka,10 cl de tonic,3 cl de curacao bleu;Dans un verre long drink, déposez quelques glaçons, puis versez : 3 cl de vodka, 10 cl de tonic. Finir par 3 cl de curaçao bleu. 
Le nuancier;4 cl de rhum blanc,1 trait de curaçao,3 cl de crème de pêche,3 cl de crème de framboise,1 cl de jus de citron;Dans un verre tumbler, versez le rhum, les crèmes de fruits et le jus de citron. Ajoutez un trait de curaçao. 
Cario Caraïbos;6 cl de boisson caïpirinha, 6 cl de nectar de mangue, 4 cl de nectar de maracujà,1 cl de sirop de canne,Dés de citron vert;"Dans un shaker, déposez quelques dés de citron vert et 1 cl de sucre de canne. Pilez, ajoutez les glaçons, puis versez les ingrédients. Shakez et versez dans un verre long drink.
Vous pouvez réaliser ce cocktail en changeant la boisson caïpirinha par du nectar de citron vert "
Exotic Cosmo;4 cl de nectar de cranberry,4 cl de nectar de maracujà,4 cl de nectar de goyave,1 cl de sirop de canne,1 gousse de vanille;Grattez l'intérieur de la gousse de vanille préalablement fendue en deux pour en récupérer le contenu.  Dans un shaker rempli à moitié de glaçons, versez les jus, la vanille et le sirop de canne. Shakez et servez dans un verre long drink. 
Screwdriver;4 cl de vodka,8 cl de jus d'orange;Dans un verre long drink rempli de glaçons, versez 4 cl de vodka, 8 cl de jus d'orange. Mélangez. 
Booh!!;8 cl de jus de pamplemousse jaune,8 cl de nectar de goyave,1 cl de sirop d’érable;Dans un shaker rempli à moitié de glaçons, mélangez : 8 cl de jus de pamplemousse jaune, 8 cl de nectar de goyave,1 cl de sirop d’érable. Secouez énergiquement et versez dans un verre long drink. 
Carton rouge;8 cl de jus de pamplemousse rouge,8 cl de jus de fraise,1 cl de sirop de grenadine;Dans un shaker rempli à moitié de glaçons, versez : 8 cl de jus de pamplemousse rouge, 8 cl de jus de fraise. Ajoutez 1 cl de sirop de grenadine. Secouez et servez dans un verre long drink. 
Cruz Sunrise;5 cl de Porto Blanc, 5 cl de Tonic;Dans un verre, versez 5 cl de Porto blanc et 5 cl de Tonic 
Red Rose;10 cl d'effervescent sans alcool framboise,2 cl de nectar de cranberry,2 cl de jus de fraise;Dans un shaker, mélangez tous les ingrédients excepté le D'ARTIGNY framboise, ajoutez des glaçons puis shakez. Versez dans un verre et complétez de D'ARTIGNY framboise. 
Zombie;3 cl de rhum blanc,3 cl de rhum ambré,2 cl de nectar de citron vert,6 cl de jus d'ananas,0,5 cl de sirop de grenadine,1,5 cl de sirop de canne,1,5 cl de liqueur d'abricot;Mélangez tous les ingrédients dans un shaker avec de la glace. Shakez puis versez dans un verre long drink. Pour une présentation originale, vous pouvez utiliser un verre tiki. 
Bloody Virgin Watermelon;5 cl de jus de watermelon,5cl de jus de tomate,3 cl jus de citron,3 traits de sauce pimentée,5 traits de sauce Worcetershire,1 trait de vinaigre balsamique,1 pincée de sel au céléri,1 pincée de poivre noir;Dans un shaker rempli de glaçons, versez tous les ingrédients. Aérez le cocktail en passant les ingrédients d’une timbale de shaker à une autre. Versez ensuite dans un verre long drink rempli de glaçons. 
Dark Ice;4 cl de vodka,6 myrtilles écrasées,12 cl de tonic,glace pilée;Dans un verre long drink, versez 4 cl de vodka et disposez les 6 myrtilles.  Pilez puis ajoutez la glace pilée. Complétez avec du tonic. 
Blood and Sand;2 cl de Scotch whisky,2 cl de jus d'orange,2 cl de liqueur de cerise,2 cl de vermouth rouge;Mélangez tous les ingrédients au shaker avec de la glace. Versez dans un verre à cocktail en retenant les glaçons. 
Perfect Match;4 cl de scotch whisky,3 cl de nectar de citron vert,3 cl de nectar de cranberry,6 cl de nectar de goyave,1 cl de sirop de canne,1 goutte d'Angostura bitter;"Dans un shaker, déposez quelques glaçons, puis versez tous les ingrédients.

Shakez et versez dans un verre long drink. "
Satan Who;5 cl de whisky,2 cl de crème de mangue,3 cl de jus d'orange,1 cl de vermouth rouge;Dans un shaker, mélangez tous les ingrédients, ajoutez des glaçons et shakez vigoureusement. Versez dans un verre à cocktail rafraichi. 
Luxury Sangria;2 L de vin rouge,1,5 L de jus de cerise,50 cl de jus de pamplemousse pressé,10 tranches d'oranges séchées,10 tranches d'écorce de citron jaune,10 myrtilles;"Dans une vasque de style punchbowl, versez le jus de cerise, le jus de pamplemousse pressé et les écorces d'agrumes puis mélangez.
Ajoutez le vin rouge et les myrtilles puis mélangez une dernière fois avant de servir. "
Whisky Sidecar;4 cl de Scotch whisky,1 cl de triple sec,3 cl de jus de citron,1 cl de sirop de canne;Dans un shaker rempli au 3/4 de glaçons, versez l'ensemble des ingrédients. Shakez et servez en filtrant dans un verre à cocktail. 
Tequila Collins;4 cl de Tequila,2 cl de jus de citron,1 cl de sirop de canne,eau pétillante;Versez les ingrédients dans le verre sur des glaçons. Remuez doucement, servez dans un verre de type Tumbler. 
Pomme Maudite;4 cl de cachaça,6 cl de jus de pomme,2 feuilles de basilic,1 cl de jus de citron;Dans un shaker, déposez 2 feuilles de basilic et 1 cl de jus de citron . Ecrasez délicatement avec un pilon, ajoutez qelques glaçons, puis versez les ingrédients. Shakez et filtrez dans un verre à cocktail. 
Ginger Punch;4 cl de rhum ambré,4 cl de nectar de citron vert,4 cl de jus de pamplemousse,1 cl de sirop de canne,2 pincées de gingembre en poudre;Dans un shaker rempli à moitié de glaçons, versez 4 cl de rhum ambré, 4 cl de nectar de citron vert, 4 cl de jus de pamplemousse, 1 cl de sirop de canne, 2 pincées de gingembre en poudre. Shakez et versez dans un verre à cocktail. 
Rob Roy;5 cl de Scotch Whisky,2 cl de vermouth rouge,quelques gouttes d'angostura;Versez les ingrédients dans un verre à mélange rempli de glaçons. Mélangez à l'aide d'une cuillère et versez dans un verre à cocktail en filtrant les glaçons. 
Virgin Watermelon Mojito;6 cl de jus watermelon,2 cl de nectar de citron vert,1 cl de sirop de canne,4 cl d'eau gazeuse,menthe;Dans un shaker avec glace, versez le watermelon, le nectar de citron vert, le sirop de canne et 3 feuilles de menthe. Shakez, filtrez et versez dans un verre. Allongez d'eau gazeuse. 
Mojito Pêche Paille;4 cl de rhum paille 40°,nectar de pêche,1 cl de sirop de canne,6 à 8 feuilles de menthe fraîche,1/2 citron vert coupé en dés;Dans un verre à Mojito, disposez 6 à 8 feuilles de menthe, 1/2 citron vert coupé en dés et 2 cl de sirop de canne. Pilez et versez 4 cl de rhum paille 40°. Ajoutez de la glace pilée et allongez de nectar de pêche. Mélangez de bas en haut avec une cuillère à mélange. 
